Id,Formula,Name,Melting_Pt,
0,CBr2Cl2,dibromodichloromethane,294.4,
1,CBr4,carbon tetrabromide,363.2,
2,CBrCl3 ,bromotrichloromethane,267.5,
3,CCl3F,fluorotrichloromethane,162.7,
4,CCl4     ,carbon tetrachloride,249.0,
5,CF4,carbon tetrafluoride,89.6,
6,CHBr3,tribromomethane,281.5,
7,CHCl3,trichloromethane,209.6,
8,CHClF2,chlorodifluoromethane,115.7,
9,CHF3,trifluoromethane,118.0,
10,CHF3S ,trifluoromethanethiol,116.0,
11,CH2Cl2 ,dichloromethane,178.2,
12,CH2F2,difluoromethane,136.4,
13,CH2I2,diiodomethane,279.2,
14,CH2N2 ,cyanamide,317.2,
15,CH2N4 ,tetrazole,432.1,
16,CH3Br,bromomethane,179.5,
17,CH3Br,bromomethane ,179.5,
18,CH3Cl,methyl chloride,174.5,
19,CH3Cl2OP ,methylphosphonyl dichloride,306.1,
20,CH3ClFOP,methylphosphonyl chlorofluoride,250.7,
21,CH3F2OP,methylphosphonyl difluoride,236.3,
22,CH3I,iodomethane,206.8,
23,CH3NO2,nitromethane,244.8,
24,CH3NO3 ,methyl nitrate,190.2,
25,CH4N2O,urea,408.1,
26,CH4N2S,thiourea,452.2,
27,CH4N4O4 ,"N,N'-dinitro-diaminomethane",371.0,
28,CH4O    ,methanol,175.3,
29,CH4S,methanethiol,150.2,
30,CH5N     ,methylamine,179.7,
31,CH6N2 ,methylhydrazine,220.8,
32,C2Br2F2 ,dibromodifluoroethylene,162.8,
33,C2Br2F4,"1,2-dibromotetrafluoroethane",162.8,
34,C2Cl2F4,"1,2-dichloro-tetrafluoroethane",180.6,
35,C2Cl3F3 ,"1,1,2-trifluoro-1,2,2-trichloroethane",236.9,
36,C2Cl4 ,tetrachloroethene,250.8,
37,C2Cl4F2 ,"1,1,2,2-tetrachlorodifluoroethane",299.7,
38,C2Cl6 ,hexachloroethane,458.0,
39,C2ClF3,chlorotrifluoroethylene,115.0,
40,C2ClF5,pentafluorochloroethane,173.7,
41,C2F3N ,trifluoroacetonitrile,128.7,
42,C2F4 ,tetrafluoroethylene,142.0,
43,C2F6 ,hexafluoroethane,173.1,
44,C2HBrClF3 ,"2-bromo-2-chloro-1,1,1-trifluoroethane",154.7,
45,C2HBrClF3 ,"1-bromo-2-chloro-1,1,2-trifluoroethane",146.2,
46,C2HCl3 ,trichloroethylene,188.5,
47,C2HCl3O2,trichloroacetic acid,330.7,
48,C2HF5,pentafluoroethane,172.6,
49,C2H2,acetylene,192.4,
50,C2H2Br2F2 ,"1,2-dibromo-1,1-difluoroethane",206.3,
51,C2H2Cl2,"1,1-dichloroethene",150.9,
52,C2H2Cl2F2,"1,2-difluoro-2,2-dichloroethane ",163.0,
53,C2H2Cl2O2 ,dichloroacetic acid,286.5,
54,C2H2Cl4,"1,1,2,2-tetrachloroethane",230.8,
55,C2H3Br3 ,"1,1,2-tribromoethane",244.0,
56,C2H3Cl ,vinyl chloride,119.3,
57,C2H3Cl3  ,"1,1,1-trichloroethane",240.1,
58,C2H3Cl3  ,"1,1,2-trichloroethane",237.1,
59,C2H3ClF2 ,"1,1-difluoro-1-chloroethane",142.4,
60,C2H3ClO2,ß-chloroacetic acid,329.2,
61,C2H3ClO2,a-chloroacetic acid,334.4,
62,C2H3ClO2 ,ß-chloroacetic acid,329.2,
63,C2H3ClO2 ,a-chloroacetic acid,334.3,
64,C2H3F3 ,"1,1,1-trifluoroethane",161.9,
65,C2H3N ,acetonitile,229.3,
66,C2H3N3 ,"1,2,4-triazole ",393.5,
67,C2H3N3O6,"1,1,1-trinitroethane",329.2,
68,C2H3N3O7,"2,2,2-trinitroethanol",344.9,
69,C2H4 ,ethylene,104.0,
70,C2H4Br2 ,"1,2-dibromoethane",283.0,
71,C2H4BrCl ,1-bromo-2-chloroethane,256.4,
72,C2H4Cl2  ,"1,1-dichloroethane",176.2,
73,C2H4Cl2  ,"1,2-dichloroethane ",237.2,
74,C2H4N4,"1H-1,2,4-triazol-3-amine",428.3,
75,C2H4N4 ,2-methyltetrazole,286.0,
76,C2H4N4 ,1-methyltetrazole,315.0,
77,C2H4N4 ,5-methyltetrazole,418.0,
78,C2H4O ,acetaldehyde,242.9,
79,C2H4O    ,ethylene oxide,160.7,
80,C2H4O2  ,ethanoic acid,298.7,
81,C2H5Cl   ,chloroethane   ,134.8,
82,C2H5NO ,acetamide,353.0,
83,C2H5NO2 ,methyl carbamate,328.6,
84,C2H5NO2  ,nitroethane            ,183.7,
85,C2H5NO3 ,ethyl nitrate,178.6,
86,C2H5NS ,ethanethioamide,385.7,
87,C2H6  ,ethane,89.5,
88,C2H6ClO3P ,2-chloroethylphosphonic acid,347.9,
89,C2H6N2O ,N-methylurea,378.1,
90,C2H6N2O2 ,N-nitro-N-methylaminomethane,327.0,
91,C2H6N4O4 ,"N,N'-dinitroethanediamine",450.0,
92,C2H6O   ,ethanol,158.8,
93,C2H6O    ,dimethyl ether         ,131.7,
94,C2H6O2  ,dihydroxyethane,260.6,
95,C2H6O2S ,dimethylsulfone ,382.0,
96,C2H6OS ,dimethyl sulfoxide,291.7,
97,C2H6S    ,dimethyl sulfide,174.9,
98,C2H6S    ,ethyl mercaptan,195.3,
99,C2H6S2   ,dimethyldisulfide,188.4,
100,C2H7N    ,dimethyl amine,181.0,
101,C2H8N2  ,"N,N-dimethylhydrazine",216.0,
102,C2H8N2  ,"N,N'-dimethylhydrazine",264.3,
103,C2H8N2   ,diaminoethane,284.2,
104,C2H8NOPS2 ,"O,S-dimethyl phosphoroamidothioate",316.8,
105,C2N2 ,cyanogen,245.3,
106,C3Cl6 ,hexachlorocyclopropane,376.0,
107,C3F6O ,hexafluoroacetone,147.7,
108,C3F8 ,octafluoropropane,125.5,
109,C3H2Cl3F3 ,"1,1,1-trichloro-3,3,3-trifluoropropane",232.7,
110,C3H2ClF5 ,"3-chloro-1,1,1,3,3-pentafluoropropane",165.4,
111,C3H2N2   ,dicyanomethane,305.0,
112,C3H3Cl2F3 ,"1,1,1-trifluoro-3,3-dichloropropane",182.2,
113,C3H3N    ,acrylonitrile ,189.6,
114,C3H3NS   ,thiazole,239.4,
115,C3H4Cl4  ,"1,1,1,3-tetrachloropropane",237.7,
116,C3H4ClF3 ,"1,1,1-trifluoro-3-chloropropane",179.4,
117,C3H4N2 ,pyrazole,343.2,
118,C3H4N2 ,imidazole,361.9,
119,C3H4N2O ,cyanoacetamide,387.3,
120,C3H4N4O6,"1,3,3-trinitroazetidine",375.5,
121,C3H4O2 ,acrylic acid,285.5,
122,C3H4O2  ,ß-propiolactone,239.9,
123,C3H4O3   ,ethylene carbonate,309.5,
124,C3H5Br3 ,"1,2,3-tribromopropane",289.4,
